2025-08-18 16:33:13 - trading_system - ERROR - ERROR: 'status'
2025-08-18 16:33:13 - trading_system - ERROR - Context: {"operation": "load_state"}
2025-08-18 16:33:13 - trading_system - INFO - 💼 Paper Trading Enhanced inicializado con $10,000.00
2025-08-18 16:33:14 - trading_system - ERROR - ERROR: 'capital_used'
2025-08-18 16:33:14 - trading_system - ERROR - Context: {"operation": "open_position", "symbol": "SOLUSDT"}
2025-08-18 16:33:14 - trading_system - INFO - Backtest completado para SOLUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 16:33:14 - trading_system - INFO - Backtest completado para SOLUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 16:33:15 - trading_system - INFO - Backtest completado para ADAUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 16:33:17 - trading_system - ERROR - ERROR: division by zero
2025-08-18 16:33:17 - trading_system - ERROR - Context: {"test": "division_by_zero"}
2025-08-18 16:33:17 - trading_system - INFO - TRADING ACTION: TEST_ACTION for SOLUSDT
2025-08-18 16:33:17 - trading_system - INFO - Details: {"test": true, "value": 100}
2025-08-18 16:34:48 - trading_system - INFO - 📂 Estado cargado: 3 posiciones activas
2025-08-18 16:34:48 - trading_system - INFO - 💼 Paper Trading Enhanced inicializado con $1,000.00
2025-08-18 16:35:35 - trading_system - INFO - 📂 Estado cargado: 4 posiciones activas
2025-08-18 16:35:35 - trading_system - INFO - 💼 Paper Trading Enhanced inicializado con $1,000.00
2025-08-18 17:07:14 - trading_system - INFO - Backtest completado para DOGEUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:07:14 - trading_system - INFO - Backtest completado para SOLUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:07:15 - trading_system - INFO - Backtest completado para LINKUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:07:15 - trading_system - INFO - Backtest completado para DOGEUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:07:15 - trading_system - INFO - Backtest completado para DOGEUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:07:15 - trading_system - INFO - Backtest completado para SOLUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:07:15 - trading_system - INFO - Backtest completado para SOLUSDT: Return: 5.93%, Trades: 3, Win Rate: 100.0%
2025-08-18 17:07:15 - trading_system - INFO - Backtest completado para SOLUSDT: Return: -3.83%, Trades: 3, Win Rate: 66.7%
2025-08-18 17:07:15 - trading_system - INFO - Backtest completado para LINKUSDT: Return: 1.38%, Trades: 1, Win Rate: 100.0%
2025-08-18 17:07:15 - trading_system - INFO - Backtest completado para LINKUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:07:15 - trading_system - INFO - Backtest completado para LINKUSDT: Return: -4.98%, Trades: 1, Win Rate: 0.0%
2025-08-18 17:07:15 - trading_system - INFO - Backtest completado para DOGEUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:07:15 - trading_system - INFO - Backtest completado para DOGEUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:07:15 - trading_system - INFO - Backtest completado para ADAUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:07:15 - trading_system - INFO - Backtest completado para ADAUSDT: Return: -8.72%, Trades: 1, Win Rate: 0.0%
2025-08-18 17:07:15 - trading_system - INFO - Backtest completado para ADAUSDT: Return: -4.91%, Trades: 3, Win Rate: 33.3%
2025-08-18 17:07:16 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: 15.45%, Trades: 2, Win Rate: 100.0%
2025-08-18 17:07:16 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: 0.00%, Trades: 0, Win Rate: 0.0%
2025-08-18 17:07:16 - trading_system - INFO - Backtest completado para AVAXUSDT: Return: 0.00%, Trades: 2, Win Rate: 50.0%
