ID,Timestamp_Open,Timestamp_Close,Ticker,Direction,Entry_Price,Exit_Price,Stop_Loss,Take_Profit,Score,Result,PnL_Percent,PnL_USD,Duration_Hours,Max_Favorable,Max_Adverse,Leverage,Position_Size
FIL-USD_20250816_034717,2025-08-16T03:47:17.453820,2025-08-16T04:35:57.152379,FIL-USD,LONG,2.5031089782714844,2.4780778884887695,2.4780778884887695,2.565686702728271,6,STOP_LOSS,-3.00,-30.00,0.81,0.03,-1.00,3,3.0
FIL-USD_20250816_033205,2025-08-16T03:32:05.808005,2025-08-16T04:43:02.698934,FIL-USD,LONG,2.500715732574463,2.4757085752487185,2.4757085752487185,2.563233625888824,6,STOP_LOSS,-3.00,-30.00,1.18,0.14,-1.02,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:04:46.902595,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.06,0.29,-1.16,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:04:55.862513,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.07,0.29,-1.16,3,3.0
FIL-USD_20250816_021605,2025-08-16T02:16:05.792390,2025-08-16T06:04:56.041396,FIL-USD,LONG,2.494462490081787,2.4695178651809693,2.4695178651809693,2.5568240523338317,6,STOP_LOSS,-3.00,-30.00,3.81,0.40,-1.06,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:04:56.101583,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.07,0.29,-1.16,3,3.0
FIL-USD_20250816_023117,2025-08-16T02:31:17.630569,2025-08-16T06:04:56.204500,FIL-USD,LONG,2.4953455924987793,2.4703921365737913,2.4703921365737913,2.5577292323112486,6,STOP_LOSS,-3.00,-30.00,3.56,0.36,-1.10,3,3.0
FIL-USD_20250816_024630,2025-08-16T02:46:30.588700,2025-08-16T06:04:56.354390,FIL-USD,LONG,2.4951109886169434,2.4701598787307737,2.4701598787307737,2.557488763332367,6,STOP_LOSS,-3.00,-30.00,3.31,0.37,-1.09,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:04:56.618481,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.07,0.29,-1.16,3,3.0
FIL-USD_20250816_021605,2025-08-16T02:16:05.792390,2025-08-16T06:04:56.814563,FIL-USD,LONG,2.494462490081787,2.4695178651809693,2.4695178651809693,2.5568240523338317,6,STOP_LOSS,-3.00,-30.00,3.81,0.40,-1.06,3,3.0
FIL-USD_20250816_023117,2025-08-16T02:31:17.630569,2025-08-16T06:04:56.984964,FIL-USD,LONG,2.4953455924987793,2.4703921365737913,2.4703921365737913,2.5577292323112486,6,STOP_LOSS,-3.00,-30.00,3.56,0.36,-1.10,3,3.0
FIL-USD_20250816_024630,2025-08-16T02:46:30.588700,2025-08-16T06:04:57.151973,FIL-USD,LONG,2.4951109886169434,2.4701598787307737,2.4701598787307737,2.557488763332367,6,STOP_LOSS,-3.00,-30.00,3.31,0.37,-1.09,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:04:57.321343,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.07,0.29,-1.16,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:05:06.282700,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.07,0.29,-1.16,3,3.0
FIL-USD_20250816_021605,2025-08-16T02:16:05.792390,2025-08-16T06:05:06.459435,FIL-USD,LONG,2.494462490081787,2.4695178651809693,2.4695178651809693,2.5568240523338317,6,STOP_LOSS,-3.00,-30.00,3.82,0.40,-1.06,3,3.0
FIL-USD_20250816_023117,2025-08-16T02:31:17.630569,2025-08-16T06:05:06.623923,FIL-USD,LONG,2.4953455924987793,2.4703921365737913,2.4703921365737913,2.5577292323112486,6,STOP_LOSS,-3.00,-30.00,3.56,0.36,-1.10,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:05:10.204446,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.07,0.29,-1.16,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:05:10.946928,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.07,0.29,-1.16,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:05:11.522107,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.07,0.29,-1.16,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:05:11.950893,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.07,0.29,-1.16,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:05:12.089871,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.07,0.29,-1.16,3,3.0
FIL-USD_20250816_021605,2025-08-16T02:16:05.792390,2025-08-16T06:05:12.144207,FIL-USD,LONG,2.494462490081787,2.4695178651809693,2.4695178651809693,2.5568240523338317,6,STOP_LOSS,-3.00,-30.00,3.82,0.40,-1.06,3,3.0
FIL-USD_20250816_021605,2025-08-16T02:16:05.792390,2025-08-16T06:05:12.259371,FIL-USD,LONG,2.494462490081787,2.4695178651809693,2.4695178651809693,2.5568240523338317,6,STOP_LOSS,-3.00,-30.00,3.82,0.40,-1.06,3,3.0
FIL-USD_20250816_023117,2025-08-16T02:31:17.630569,2025-08-16T06:05:12.302656,FIL-USD,LONG,2.4953455924987793,2.4703921365737913,2.4703921365737913,2.5577292323112486,6,STOP_LOSS,-3.00,-30.00,3.57,0.36,-1.10,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:05:12.338190,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.07,0.29,-1.16,3,3.0
FIL-USD_20250816_023117,2025-08-16T02:31:17.630569,2025-08-16T06:05:12.440313,FIL-USD,LONG,2.4953455924987793,2.4703921365737913,2.4703921365737913,2.5577292323112486,6,STOP_LOSS,-3.00,-30.00,3.57,0.36,-1.10,3,3.0
FIL-USD_20250816_024630,2025-08-16T02:46:30.588700,2025-08-16T06:05:12.461147,FIL-USD,LONG,2.4951109886169434,2.4701598787307737,2.4701598787307737,2.557488763332367,6,STOP_LOSS,-3.00,-30.00,3.31,0.37,-1.09,3,3.0
FIL-USD_20250816_024630,2025-08-16T02:46:30.588700,2025-08-16T06:05:12.616420,FIL-USD,LONG,2.4951109886169434,2.4701598787307737,2.4701598787307737,2.557488763332367,6,STOP_LOSS,-3.00,-30.00,3.31,0.37,-1.09,3,3.0
FIL-USD_20250816_031653,2025-08-16T03:16:53.854498,2025-08-16T06:05:12.789267,FIL-USD,LONG,2.4954354763031006,2.4704811215400695,2.4704811215400695,2.557821363210678,6,STOP_LOSS,-3.00,-30.00,2.81,0.36,-1.10,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:05:16.444957,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.07,0.29,-1.16,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:05:18.798702,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.07,0.29,-1.16,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:05:19.388858,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.07,0.29,-1.16,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:05:23.156251,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.07,0.29,-1.16,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:05:23.215797,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.07,0.29,-1.16,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:05:26.653911,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.08,0.29,-1.16,3,3.0
FIL-USD_20250816_020053,2025-08-16T02:00:53.580646,2025-08-16T06:05:33.393377,FIL-USD,LONG,2.4970176219940186,2.4720474457740784,2.4720474457740784,2.5594430625438687,6,STOP_LOSS,-3.00,-30.00,4.08,0.29,-1.16,3,3.0
